Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/preferences/,30,0,8,9.096511066309176,4.973249997419771,16.548374995181803,68.66666666666667,0.16688472732112108,0.0,9,10,11,13,13,14,17,17,17,17,17
GET,/recommendations/1,110,0,5,4.692688645313452,1.22683299559867,15.91049999842653,78.0,0.6119106668441107,0.0,5,5,5,6,7,7,9,13,16,16,16
GET,/recommendations/106,111,0,5,4.867270314813747,1.1177909982507117,24.09270900534466,78.0,0.617473491088148,0.0,5,5,6,6,7,8,12,19,24,24,24
GET,/recommendations/111,107,0,4,4.3284805140960705,1.4473329938482493,10.926082999503706,78.0,0.5952221941119985,0.0,4,5,5,5,7,7,8,10,11,11,11
GET,/recommendations/183,118,0,4,4.343852058994698,1.5943749967846088,9.577249998983461,78.0,0.6564132607964096,0.0,4,5,5,5,6,7,8,9,10,10,10
GET,/recommendations/227,114,0,4,4.116802920945798,1.051500003086403,13.098540999635588,78.0,0.6341619638202601,0.0,4,4,5,5,6,6,9,12,13,13,13
GET,/recommendations/23,105,0,4,4.472224161283867,1.254208000318613,11.50904200039804,78.0,0.5840965456239238,0.0,4,5,5,5,6,7,8,10,12,12,12
GET,/recommendations/247,106,0,5,4.740885292637856,1.40974999521859,11.498708998260554,78.0,0.5896593698679612,0.0,5,5,6,6,7,8,9,11,11,11,11
GET,/recommendations/249,101,0,4,4.308182703596794,0.9663340024417266,9.12666699878173,78.0,0.5618452486477743,0.0,4,5,5,5,6,6,7,8,9,9,9
GET,/recommendations/272,118,0,4,4.349889516854122,1.2467920023482293,12.399832994560711,78.0,0.6564132607964096,0.0,4,5,5,5,6,6,8,8,12,12,12
GET,/recommendations/282,110,0,5,4.626182963759427,1.325165998423472,15.85200000408804,78.0,0.6119106668441107,0.0,5,5,5,6,6,8,10,12,16,16,16
GET,/recommendations/304,108,0,4,4.579413195137426,1.5687920022173785,16.672583005856723,78.0,0.6007850183560359,0.0,4,5,5,5,6,7,9,12,17,17,17
GET,/recommendations/344,110,0,4,4.692907245308478,1.355291999061592,26.525875000515953,78.0,0.6119106668441107,0.0,4,5,5,5,6,8,14,14,27,27,27
GET,/recommendations/37,114,0,4,4.490113657850184,1.4412090022233315,36.85341699747369,78.0,0.6341619638202601,0.0,4,5,5,5,6,7,8,8,37,37,37
GET,/recommendations/422,111,0,4,4.1909301351322705,1.4012909960001707,9.04870899830712,78.0,0.617473491088148,0.0,4,5,5,5,5,6,7,8,9,9,9
GET,/recommendations/45,119,0,4,4.844538840387474,1.4833750028628856,29.337542000575922,78.0,0.6619760850404469,0.0,4,5,5,5,6,8,10,21,29,29,29
GET,/recommendations/466,113,0,5,4.463844796690567,1.895958004752174,15.0131250047707,78.0,0.6285991395762227,0.0,5,5,5,5,6,6,8,8,15,15,15
GET,/recommendations/467,109,0,5,4.583767971914121,1.5691669977968559,16.67670800088672,78.0,0.6063478426000732,0.0,5,5,5,5,6,7,8,15,17,17,17
GET,/recommendations/488,98,0,4,4.59264627560125,1.723166998999659,15.748791003716178,78.0,0.5451567759156623,0.0,4,5,5,5,7,8,9,16,16,16,16
GET,/recommendations/489,100,0,4,4.229755840060534,1.048457997967489,19.85662500374019,78.0,0.556282424403737,0.0,4,5,5,5,6,6,7,20,20,20,20
GET,/recommendations/539,101,0,4,4.830549891645061,1.1309159963275306,19.039708000491373,78.0,0.5618452486477743,0.0,4,5,5,6,7,8,15,16,19,19,19
GET,/recommendations/561,101,0,4,4.342177821557259,1.2528750012279488,15.251333003106993,78.0,0.5618452486477743,0.0,4,5,5,5,6,7,10,13,15,15,15
GET,/recommendations/625,111,0,4,4.826182423556446,1.6622909970465116,25.21070899820188,78.0,0.617473491088148,0.0,4,5,5,6,7,10,11,11,25,25,25
GET,/recommendations/642,120,0,4,5.043367316708706,1.395749997755047,44.90845800319221,78.0,0.6675389092844843,0.0,4,5,5,5,6,7,24,27,45,45,45
GET,/recommendations/645,109,0,4,4.3500347708836795,0.9152080019703135,15.212874997814652,78.0,0.6063478426000732,0.0,4,5,5,5,6,7,7,8,15,15,15
GET,/recommendations/658,111,0,4,4.581143801440883,1.072667000698857,25.26075000059791,78.0,0.617473491088148,0.0,4,5,5,5,6,7,10,12,25,25,25
GET,/recommendations/714,118,0,4,4.439590338980621,1.1284160063951276,17.34579200274311,78.0,0.6564132607964096,0.0,4,5,5,5,6,7,8,12,17,17,17
GET,/recommendations/724,107,0,5,4.610812280147019,1.495915996201802,10.463124999660067,78.0,0.5952221941119985,0.0,5,5,5,6,7,8,10,10,10,10,10
GET,/recommendations/729,115,0,4,4.520043860943786,1.0450420013512485,13.916083000367507,78.0,0.6397247880642974,0.0,4,5,5,6,6,7,10,11,14,14,14
GET,/recommendations/941,102,0,5,4.674702294555484,1.312459004111588,12.605083000380546,78.0,0.5674080728918117,0.0,5,5,6,6,6,8,9,13,13,13,13
GET,/recommendations/943,116,0,4,4.3551317833997265,1.4893330007907934,8.050584001466632,78.0,0.6452876123083349,0.0,4,5,5,5,6,7,8,8,8,8,8
,Aggregated,3323,0,4,4.5784936659275415,0.9152080019703135,44.90845800319221,77.91573879024978,18.485264962936178,0.0,4,5,5,5,6,7,10,13,27,45,45
